source,owner,name,downloads
crates,asimov-modules,asimov-apify-module,1441
crates,asimov-modules,asimov-apple-module,251
crates,asimov-modules,asimov-brightdata-module,971
crates,asimov-modules,asimov-clock-module,491
crates,asimov-modules,asimov-file-module,255
crates,asimov-modules,asimov-host-module,486
crates,asimov-modules,asimov-http-module,247
crates,asimov-modules,asimov-huggingface-module,249
crates,asimov-modules,asimov-jinja-module,886
crates,asimov-modules,asimov-jq-module,1093
crates,asimov-modules,asimov-location-module,498
crates,asimov-modules,asimov-near-module,463
crates,asimov-modules,asimov-nearai-module,220
crates,asimov-modules,asimov-nexus-module,218
crates,asimov-modules,asimov-obsidian-module,250
crates,asimov-modules,asimov-ollama-module,253
crates,asimov-modules,asimov-openai-module,249
crates,asimov-modules,asimov-serpapi-module,962
crates,asimov-modules,asimov-telegram-module,250
crates,asimov-modules,asimov-template-module,1132
pypi,asimov-modules,asimov-apify-module,201
pypi,asimov-modules,asimov-brightdata-module,0
pypi,asimov-modules,asimov-jinja-module,0
pypi,asimov-modules,asimov-jq-module,0
pypi,asimov-modules,asimov-mlx-module,0
pypi,asimov-modules,asimov-near-module,204
pypi,asimov-modules,asimov-nearai-module,0
pypi,asimov-modules,asimov-serpapi-module,204
pypi,asimov-platform,apache-airflow-providers-asimov,127
pypi,asimov-platform,asimov-modules,0
pypi,asimov-platform,asimov-universe,0
pypi,asimov-platform,asimov.py,0
pypi,asimov-platform,langchain-asimov,0
pypi,asimov-platform,llama-index-agent-asimov,177
pypi,asimov-platform,llama-index-asimov,0
pypi,asimov-platform,llama-index-embeddings-asimov,179
pypi,asimov-platform,llama-index-graph-stores-asimov,0
pypi,asimov-platform,llama-index-indices-managed-asimov,175
pypi,asimov-platform,llama-index-llms-asimov,176
pypi,asimov-platform,llama-index-memory-asimov,183
pypi,asimov-platform,llama-index-readers-asimov,169
pypi,asimov-platform,llama-index-storage-chat-store-asimov,172
pypi,asimov-platform,llama-index-storage-docstore-asimov,177
pypi,asimov-platform,llama-index-storage-index-store-asimov,173
pypi,asimov-platform,llama-index-storage-kvstore-asimov,170
pypi,asimov-platform,llama-index-tools-asimov,173
pypi,asimov-platform,llama-index-vector-stores-asimov,187
pypi,asimov-platform,prefect-asimov,138
rubygems,asimov-modules,asimov-anthropic-module,396
rubygems,asimov-modules,asimov-apify-module,1134
rubygems,asimov-modules,asimov-bitte-module,219
rubygems,asimov-modules,asimov-brightdata-module,1061
rubygems,asimov-modules,asimov-chromium-module,234
rubygems,asimov-modules,asimov-goodreads-module,256
rubygems,asimov-modules,asimov-jinja-module,1177
rubygems,asimov-modules,asimov-jq-module,1185
rubygems,asimov-modules,asimov-near-module,1091
rubygems,asimov-modules,asimov-netscape-module,248
rubygems,asimov-modules,asimov-nexus-module,1118
rubygems,asimov-modules,asimov-openai-module,403
rubygems,asimov-modules,asimov-rdf-module,263
rubygems,asimov-modules,asimov-rdfs-module,243
rubygems,asimov-modules,asimov-serpapi-module,1101
rubygems,asimov-modules,asimov-xsd-module,255
rubygems,asimov-platform,asimov-account-cli,286
rubygems,asimov-platform,asimov-cli,296
rubygems,asimov-platform,asimov-config,774
rubygems,asimov-platform,asimov-config-cli,294
rubygems,asimov-platform,asimov-construct,600
rubygems,asimov-platform,asimov-construct-cli,271
rubygems,asimov-platform,asimov-dataset,513
rubygems,asimov-platform,asimov-dataset-cli,269
rubygems,asimov-platform,asimov-flow,526
rubygems,asimov-platform,asimov-flow-cli,148
rubygems,asimov-platform,asimov-model-cli,141
rubygems,asimov-platform,asimov-module,684
rubygems,asimov-platform,asimov-module-cli,287
rubygems,asimov-platform,asimov-modules,158
rubygems,asimov-platform,asimov-ontology,529
rubygems,asimov-platform,asimov-ontology-cli,148
rubygems,asimov-platform,asimov-protocol,530
rubygems,asimov-platform,asimov-protocol-cli,151
rubygems,asimov-platform,asimov-runner,164
rubygems,asimov-platform,asimov-sdk,543
rubygems,asimov-platform,asimov-universe,177
rubygems,asimov-platform,asimov-vault,519
rubygems,asimov-platform,asimov-vault-cli,133
rubygems,asimov-platform,asimov.rb,678
